Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I1,14/01/2007,Lazio,Siena,1.0,1.0,D,0.0,0.0,D,1.66,3.2,6.0,1.6,3.2,6.15,2006/7,€105.35m,€46.08m,G. Gava,11.0,16.0,5.0,6.0,14.0,25.0,6.0,8.0,0.0,2.0,0.0,0.0
I1,14/01/2007,Messina,Roma,1.0,1.0,D,0.0,1.0,A,7.0,3.4,1.57,6.75,3.25,1.55,2006/7,€40.58m,€220.65m,G. Rocchi,8.0,11.0,3.0,6.0,14.0,23.0,5.0,4.0,2.0,3.0,1.0,0.0
I1,14/01/2007,Milan,Reggina,3.0,1.0,H,2.0,0.0,H,1.28,5.0,10.0,1.2,5.25,12.5,2006/7,€274.35m,€50.10m,N. Ayroldi,9.0,10.0,6.0,6.0,18.0,10.0,5.0,4.0,0.0,0.0,0.0,0.0
I1,14/01/2007,Palermo,Udinese,2.0,0.0,H,1.0,0.0,H,1.8,3.2,4.75,1.7,3.2,5.0,2006/7,€127.28m,€104.58m,E. Morganti,12.0,17.0,5.0,8.0,17.0,13.0,2.0,9.0,0.0,1.0,0.0,0.0
I1,14/01/2007,Sampdoria,Fiorentina,0.0,0.0,D,0.0,0.0,D,2.8,2.87,2.7,2.75,2.75,2.65,2006/7,€69.45m,€159.60m,G. Paparesta,13.0,3.0,5.0,2.0,24.0,22.0,6.0,3.0,1.0,3.0,0.0,0.0
I1,20/01/2007,Ascoli,Atalanta,1.0,3.0,A,0.0,0.0,D,3.25,3.0,2.3,3.2,2.8,2.3,2006/7,€25.80m,€53.48m,S. Farina,8.0,9.0,3.0,5.0,17.0,19.0,6.0,6.0,3.0,1.0,0.0,0.0
I1,20/01/2007,Reggina,Palermo,0.0,0.0,D,0.0,0.0,D,3.1,3.1,2.3,3.1,2.9,2.3,2006/7,€50.10m,€127.28m,P. Bertini,5.0,7.0,1.0,3.0,19.0,23.0,2.0,4.0,4.0,2.0,0.0,0.0
I1,21/01/2007,Catania,Cagliari,0.0,1.0,A,0.0,1.0,A,2.1,2.8,4.0,2.0,2.7,4.3,2006/7,€38.60m,€45.15m,R. Rosetti,9.0,6.0,5.0,4.0,17.0,23.0,12.0,1.0,4.0,3.0,0.0,0.0
I1,21/01/2007,Empoli,Sampdoria,2.0,0.0,H,0.0,0.0,D,2.5,2.8,3.1,2.45,2.7,3.1,2006/7,€44.30m,€69.45m,L. Marelli,16.0,10.0,6.0,5.0,22.0,29.0,9.0,10.0,2.0,3.0,0.0,0.0
I1,21/01/2007,Inter,Fiorentina,3.0,1.0,H,2.0,1.0,H,1.53,3.5,7.0,1.5,3.35,7.25,2006/7,€267.23m,€159.60m,E. Morganti,9.0,8.0,5.0,4.0,19.0,16.0,7.0,3.0,2.0,2.0,0.0,0.0
I1,21/01/2007,Lazio,Milan,0.0,0.0,D,0.0,0.0,D,3.4,3.0,2.2,3.3,3.0,2.15,2006/7,€105.35m,€274.35m,M. Saccani,9.0,9.0,5.0,5.0,17.0,16.0,3.0,3.0,1.0,1.0,0.0,0.0
I1,21/01/2007,Livorno,Roma,1.0,1.0,D,1.0,0.0,H,4.5,3.0,1.9,4.45,3.1,1.8,2006/7,€68.33m,€220.65m,N. Ayroldi,3.0,15.0,1.0,7.0,24.0,13.0,1.0,10.0,4.0,2.0,0.0,1.0
I1,21/01/2007,Parma,Torino,1.0,0.0,H,0.0,0.0,D,2.5,2.8,3.1,2.55,2.8,2.85,2006/7,€46.90m,€55.55m,P. Mazzoleni,13.0,5.0,2.0,3.0,24.0,24.0,7.0,3.0,3.0,3.0,0.0,0.0
I1,21/01/2007,Siena,Chievo,2.0,1.0,H,0.0,1.0,A,2.2,2.8,3.75,2.1,2.65,4.0,2006/7,€46.08m,€83.50m,A. Giannoccaro,11.0,11.0,7.0,6.0,16.0,15.0,9.0,4.0,1.0,2.0,0.0,0.0
I1,21/01/2007,Udinese,Messina,1.0,0.0,H,0.0,0.0,D,1.57,3.4,7.0,1.55,3.4,6.1,2006/7,€104.58m,€40.58m,M. Ciampi,17.0,6.0,9.0,0.0,16.0,18.0,10.0,0.0,2.0,2.0,0.0,0.0
I1,24/01/2007,Catania,Empoli,2.0,1.0,H,0.0,0.0,D,2.25,2.87,3.5,2.1,2.8,3.75,2006/7,€38.60m,€44.30m,M. Bergonzi,12.0,9.0,5.0,3.0,18.0,29.0,5.0,5.0,2.0,3.0,0.0,0.0
I1,27/01/2007,Palermo,Lazio,0.0,3.0,A,0.0,1.0,A,1.9,3.1,4.33,1.8,3.1,4.5,2006/7,€127.28m,€105.35m,P. Dondarini,11.0,15.0,3.0,8.0,15.0,21.0,5.0,6.0,2.0,2.0,0.0,0.0
I1,27/01/2007,Torino,Udinese,2.0,3.0,A,0.0,2.0,A,2.5,2.87,3.0,2.35,2.85,3.05,2006/7,€55.55m,€104.58m,C. Brighi,14.0,13.0,5.0,6.0,18.0,12.0,4.0,2.0,1.0,0.0,1.0,0.0
I1,28/01/2007,Atalanta,Catania,1.0,1.0,D,1.0,0.0,H,1.75,3.25,5.0,1.75,3.1,4.8,2006/7,€53.48m,€38.60m,A. Romeo,15.0,6.0,11.0,1.0,18.0,19.0,10.0,2.0,2.0,3.0,0.0,0.0
I1,28/01/2007,Cagliari,Reggina,0.0,2.0,A,0.0,0.0,D,2.1,2.8,4.0,2.12,2.7,3.8,2006/7,€45.15m,€50.10m,A. De Marco,6.0,9.0,3.0,5.0,26.0,19.0,2.0,5.0,2.0,3.0,0.0,0.0
I1,28/01/2007,Chievo,Empoli,0.0,0.0,D,0.0,0.0,D,2.25,2.8,3.6,2.4,2.7,3.15,2006/7,€83.50m,€44.30m,A. Damato,8.0,5.0,3.0,2.0,28.0,18.0,8.0,2.0,3.0,2.0,0.0,0.0
I1,28/01/2007,Fiorentina,Livorno,2.0,1.0,H,0.0,1.0,A,1.53,3.6,6.5,1.5,3.3,7.5,2006/7,€159.60m,€68.33m,P. Bertini,23.0,10.0,10.0,6.0,21.0,25.0,4.0,1.0,2.0,2.0,0.0,0.0
I1,28/01/2007,Messina,Ascoli,1.0,2.0,A,0.0,0.0,D,1.75,3.25,5.0,1.75,3.0,5.0,2006/7,€40.58m,€25.80m,P. Tagliavento,8.0,10.0,3.0,7.0,21.0,21.0,3.0,8.0,1.0,6.0,0.0,1.0
I1,28/01/2007,Milan,Parma,1.0,0.0,H,0.0,0.0,D,1.28,4.75,12.0,1.2,5.25,13.0,2006/7,€274.35m,€46.90m,G. Gava,9.0,3.0,5.0,2.0,11.0,21.0,6.0,0.0,0.0,2.0,0.0,0.0
I1,28/01/2007,Roma,Siena,1.0,0.0,H,0.0,0.0,D,1.44,3.75,8.5,1.35,4.1,8.5,2006/7,€220.65m,€46.08m,A. Giannoccaro,16.0,5.0,6.0,4.0,20.0,26.0,5.0,8.0,2.0,2.0,0.0,1.0
I1,28/01/2007,Sampdoria,Inter,0.0,2.0,A,0.0,1.0,A,5.0,3.3,1.72,6.0,3.05,1.65,2006/7,€69.45m,€267.23m,N. Rizzoli,6.0,13.0,1.0,5.0,11.0,16.0,6.0,5.0,3.0,3.0,1.0,0.0
I1,02/02/2007,Catania,Palermo,1.0,2.0,A,0.0,0.0,D,2.87,2.87,2.6,2.6,2.9,2.7,2006/7,€38.60m,€127.28m,S. Farina,11.0,13.0,7.0,6.0,18.0,31.0,10.0,4.0,3.0,2.0,0.0,0.0
I1,11/02/2007,Atalanta,Lazio,0.0,0.0,D,0.0,0.0,D,2.5,2.87,2.75,2.5,2.9,2.8,2006/7,€53.48m,€105.35m,E. Morganti,8.0,8.0,3.0,5.0,17.0,15.0,3.0,3.0,1.0,1.0,0.0,0.0
I1,11/02/2007,Cagliari,Siena,2.0,2.0,D,1.0,1.0,D,2.2,2.87,3.2,2.3,2.7,3.35,2006/7,€45.15m,€46.08m,M. Bergonzi,8.0,8.0,3.0,5.0,20.0,26.0,3.0,3.0,0.0,2.0,0.0,0.0
I1,11/02/2007,Chievo,Inter,0.0,2.0,A,0.0,1.0,A,6.5,4.0,1.4,8.0,4.3,1.35,2006/7,€83.50m,€267.23m,D. Messina,14.0,9.0,4.0,4.0,17.0,14.0,7.0,2.0,2.0,1.0,0.0,0.0
I1,11/02/2007,Fiorentina,Udinese,2.0,0.0,H,2.0,0.0,H,1.66,3.2,5.0,1.75,3.1,4.75,2006/7,€159.60m,€104.58m,N. Ayroldi,16.0,14.0,7.0,7.0,22.0,13.0,5.0,7.0,3.0,1.0,0.0,0.0
I1,11/02/2007,Messina,Catania,1.0,1.0,D,1.0,0.0,H,2.5,2.87,2.75,2.6,2.7,2.9,2006/7,€40.58m,€38.60m,G. Paparesta,4.0,7.0,2.0,2.0,24.0,15.0,5.0,7.0,2.0,1.0,0.0,0.0
I1,11/02/2007,Milan,Livorno,2.0,1.0,H,1.0,1.0,D,1.28,4.5,9.0,1.25,5.0,10.0,2006/7,€274.35m,€68.33m,R. Rosetti,23.0,10.0,13.0,5.0,13.0,15.0,15.0,6.0,0.0,0.0,0.0,0.0
I1,11/02/2007,Palermo,Empoli,0.0,1.0,A,0.0,0.0,D,1.61,3.4,5.0,1.5,3.4,7.0,2006/7,€127.28m,€44.30m,O. Girardi,11.0,12.0,5.0,4.0,21.0,17.0,9.0,3.0,2.0,2.0,0.0,0.0
I1,11/02/2007,Roma,Parma,3.0,0.0,H,0.0,0.0,D,1.28,4.5,9.0,1.2,5.5,11.5,2006/7,€220.65m,€46.90m,M. Trefoloni,20.0,7.0,10.0,2.0,13.0,21.0,6.0,2.0,1.0,3.0,0.0,1.0
I1,11/02/2007,Sampdoria,Ascoli,2.0,0.0,H,0.0,0.0,D,1.53,3.4,6.0,1.45,3.75,7.0,2006/7,€69.45m,€25.80m,P. Bertini,17.0,9.0,7.0,2.0,15.0,13.0,9.0,8.0,2.0,4.0,0.0,1.0
I1,11/02/2007,Torino,Reggina,1.0,2.0,A,0.0,0.0,D,2.1,2.8,3.5,2.25,2.75,3.4,2006/7,€55.55m,€50.10m,G. Rocchi,17.0,4.0,9.0,3.0,22.0,24.0,4.0,9.0,1.0,3.0,0.0,0.0
I1,17/02/2007,Empoli,Roma,1.0,0.0,H,1.0,0.0,H,4.0,3.0,2.0,4.4,3.0,1.85,2006/7,€44.30m,€220.65m,P. Dondarini,10.0,9.0,4.0,5.0,18.0,19.0,4.0,9.0,2.0,1.0,1.0,0.0
I1,17/02/2007,Inter,Cagliari,1.0,0.0,H,1.0,0.0,H,1.2,5.5,17.0,1.2,5.5,11.5,2006/7,€267.23m,€45.15m,M. Trefoloni,11.0,3.0,5.0,1.0,18.0,10.0,8.0,2.0,2.0,2.0,0.0,0.0
I1,17/02/2007,Siena,Milan,3.0,4.0,A,2.0,2.0,D,5.0,3.0,1.83,5.5,3.0,1.7,2006/7,€46.08m,€274.35m,D. Messina,10.0,12.0,4.0,4.0,18.0,18.0,4.0,5.0,4.0,2.0,0.0,1.0
I1,18/02/2007,Ascoli,Udinese,2.0,2.0,D,0.0,2.0,A,3.75,3.0,2.1,3.9,2.9,2.0,2006/7,€25.80m,€104.58m,A. De Marco,13.0,6.0,7.0,4.0,29.0,14.0,4.0,1.0,3.0,2.0,0.0,0.0
I1,18/02/2007,Catania,Fiorentina,0.0,1.0,A,0.0,0.0,D,4.0,3.0,2.0,3.65,2.95,2.05,2006/7,€38.60m,€159.60m,A. Giannoccaro,3.0,17.0,1.0,8.0,17.0,21.0,2.0,4.0,1.0,1.0,1.0,0.0
I1,18/02/2007,Lazio,Torino,2.0,0.0,H,1.0,0.0,H,1.57,3.4,7.0,1.6,3.25,6.0,2006/7,€105.35m,€55.55m,N. Rizzoli,16.0,10.0,10.0,5.0,21.0,14.0,6.0,5.0,1.0,0.0,0.0,0.0
I1,18/02/2007,Livorno,Messina,2.0,1.0,H,1.0,0.0,H,1.66,3.2,6.0,1.7,2.9,5.85,2006/7,€68.33m,€40.58m,S. Farina,14.0,9.0,7.0,4.0,20.0,18.0,6.0,9.0,1.0,3.0,0.0,0.0
I1,18/02/2007,Palermo,Chievo,1.0,1.0,D,1.0,1.0,D,1.57,3.4,7.0,1.45,3.7,7.0,2006/7,€127.28m,€83.50m,N. Stefanini,5.0,8.0,3.0,2.0,22.0,16.0,2.0,1.0,6.0,2.0,0.0,0.0
I1,18/02/2007,Parma,Sampdoria,0.0,1.0,A,0.0,0.0,D,2.75,2.87,2.75,2.65,2.85,2.7,2006/7,€46.90m,€69.45m,C. Brighi,11.0,11.0,4.0,4.0,27.0,12.0,6.0,4.0,2.0,2.0,0.0,0.0
I1,18/02/2007,Reggina,Atalanta,1.0,1.0,D,0.0,0.0,D,2.2,2.87,3.6,2.1,2.9,3.6,2006/7,€50.10m,€53.48m,M. Bergonzi,6.0,10.0,3.0,6.0,24.0,19.0,5.0,7.0,4.0,4.0,0.0,1.0
I1,24/02/2007,Atalanta,Palermo,1.0,1.0,D,1.0,0.0,H,2.3,3.0,2.87,2.25,3.0,3.1,2006/7,€53.48m,€127.28m,R. Rosetti,7.0,8.0,2.0,2.0,13.0,13.0,5.0,10.0,2.0,1.0,0.0,0.0
I1,24/02/2007,Chievo,Torino,3.0,0.0,H,2.0,0.0,H,2.1,2.8,3.5,2.15,2.7,3.75,2006/7,€83.50m,€55.55m,M. Saccani,10.0,5.0,5.0,4.0,15.0,23.0,2.0,3.0,4.0,3.0,0.0,0.0
I1,25/02/2007,Cagliari,Lazio,0.0,2.0,A,0.0,2.0,A,3.1,2.87,2.25,3.0,2.85,2.4,2006/7,€45.15m,€105.35m,D. Messina,7.0,8.0,2.0,4.0,19.0,18.0,5.0,3.0,1.0,2.0,1.0,0.0
I1,25/02/2007,Catania,Inter,2.0,5.0,A,0.0,1.0,A,7.5,4.33,1.33,8.5,4.1,1.35,2006/7,€38.60m,€267.23m,P. Bertini,5.0,20.0,4.0,10.0,13.0,22.0,2.0,6.0,1.0,1.0,1.0,0.0
I1,25/02/2007,Fiorentina,Empoli,2.0,0.0,H,1.0,0.0,H,1.57,3.2,6.0,1.55,3.2,7.0,2006/7,€159.60m,€44.30m,G. Paparesta,17.0,5.0,7.0,3.0,23.0,17.0,5.0,6.0,2.0,2.0,0.0,0.0
I1,25/02/2007,Livorno,Ascoli,0.0,0.0,D,0.0,0.0,D,1.61,3.3,5.25,1.5,3.3,7.5,2006/7,€68.33m,€25.80m,O. Girardi,13.0,7.0,6.0,3.0,16.0,18.0,3.0,7.0,2.0,4.0,0.0,0.0
I1,25/02/2007,Messina,Siena,1.0,0.0,H,0.0,0.0,D,2.4,2.75,3.0,2.5,2.7,3.0,2006/7,€40.58m,€46.08m,O. Pantana,9.0,15.0,2.0,5.0,19.0,22.0,4.0,4.0,4.0,1.0,0.0,0.0
I1,25/02/2007,Milan,Sampdoria,1.0,0.0,H,0.0,0.0,D,1.4,3.75,7.5,1.35,4.0,8.85,2006/7,€274.35m,€69.45m,N. Ayroldi,14.0,9.0,4.0,4.0,15.0,15.0,7.0,7.0,1.0,2.0,1.0,1.0
I1,25/02/2007,Roma,Reggina,3.0,0.0,H,0.0,0.0,D,1.3,4.5,8.0,1.3,4.5,9.0,2006/7,€220.65m,€50.10m,P. Tagliavento,17.0,5.0,9.0,3.0,21.0,24.0,7.0,6.0,3.0,3.0,0.0,0.0
I1,25/02/2007,Udinese,Parma,3.0,3.0,D,1.0,1.0,D,1.61,3.4,5.0,1.5,3.3,7.5,2006/7,€104.58m,€46.90m,T. Pieri,9.0,8.0,5.0,4.0,17.0,23.0,8.0,2.0,1.0,1.0,0.0,0.0
I1,28/02/2007,Ascoli,Parma,0.0,0.0,D,0.0,0.0,D,2.87,2.87,2.62,2.45,2.75,3.05,2006/7,€25.80m,€46.90m,G. Paparesta,8.0,10.0,1.0,6.0,19.0,23.0,7.0,6.0,2.0,1.0,1.0,0.0
I1,28/02/2007,Chievo,Roma,2.0,2.0,D,2.0,1.0,H,4.0,3.0,2.0,4.35,3.0,1.85,2006/7,€83.50m,€220.65m,P. Bertini,8.0,11.0,5.0,4.0,17.0,20.0,8.0,2.0,3.0,4.0,0.0,0.0
I1,28/02/2007,Empoli,Messina,3.0,1.0,H,2.0,0.0,H,1.72,3.1,5.5,1.65,3.0,6.1,2006/7,€44.30m,€40.58m,A. De Marco,12.0,4.0,6.0,3.0,11.0,13.0,5.0,5.0,1.0,2.0,0.0,1.0
I1,28/02/2007,Inter,Udinese,1.0,1.0,D,0.0,0.0,D,1.33,4.5,9.5,1.3,4.5,9.0,2006/7,€267.23m,€104.58m,M. Bergonzi,14.0,5.0,7.0,1.0,15.0,13.0,9.0,2.0,2.0,2.0,0.0,0.0
I1,28/02/2007,Lazio,Catania,3.0,1.0,H,0.0,1.0,A,1.53,3.5,7.0,1.55,3.35,6.5,2006/7,€105.35m,€38.60m,G. Rocchi,16.0,7.0,6.0,3.0,20.0,22.0,10.0,6.0,2.0,4.0,0.0,0.0
I1,28/02/2007,Palermo,Milan,0.0,0.0,D,0.0,0.0,D,3.0,3.0,2.4,3.1,3.0,2.25,2006/7,€127.28m,€274.35m,M. Trefoloni,11.0,11.0,3.0,6.0,22.0,16.0,2.0,1.0,3.0,2.0,0.0,0.0
I1,28/02/2007,Reggina,Fiorentina,1.0,1.0,D,0.0,0.0,D,3.4,2.87,2.3,3.25,2.8,2.3,2006/7,€50.10m,€159.60m,N. Rizzoli,9.0,12.0,5.0,7.0,25.0,26.0,4.0,3.0,4.0,3.0,0.0,0.0
I1,28/02/2007,Sampdoria,Atalanta,2.0,1.0,H,0.0,1.0,A,2.15,2.87,3.75,2.1,2.9,3.55,2006/7,€69.45m,€53.48m,D. Orsato,15.0,10.0,5.0,6.0,19.0,25.0,9.0,2.0,2.0,2.0,0.0,0.0
I1,28/02/2007,Siena,Livorno,0.0,0.0,D,0.0,0.0,D,2.1,2.8,3.5,2.1,2.7,3.9,2006/7,€46.08m,€68.33m,P. Dondarini,18.0,10.0,6.0,2.0,15.0,8.0,10.0,1.0,1.0,2.0,0.0,0.0
I1,28/02/2007,Torino,Cagliari,1.0,0.0,H,1.0,0.0,H,2.15,2.87,3.75,2.25,2.7,3.45,2006/7,€55.55m,€45.15m,S. Farina,9.0,6.0,4.0,5.0,35.0,21.0,4.0,10.0,2.0,3.0,1.0,0.0
I1,03/03/2007,Ascoli,Roma,1.0,1.0,D,1.0,0.0,H,5.5,3.4,1.66,5.4,3.2,1.65,2006/7,€25.80m,€220.65m,M. Saccani,5.0,19.0,1.0,9.0,23.0,15.0,9.0,15.0,5.0,1.0,0.0,0.0
I1,03/03/2007,Livorno,Inter,1.0,2.0,A,1.0,1.0,D,5.0,3.1,1.8,4.6,3.2,1.75,2006/7,€68.33m,€267.23m,E. Morganti,7.0,14.0,3.0,8.0,12.0,20.0,6.0,5.0,1.0,3.0,0.0,1.0
I1,03/03/2007,Milan,Chievo,3.0,1.0,H,1.0,1.0,D,1.4,4.33,7.5,1.35,4.0,9.0,2006/7,€274.35m,€83.50m,P. Tagliavento,12.0,8.0,6.0,2.0,18.0,16.0,7.0,4.0,2.0,0.0,0.0,0.0
I1,04/03/2007,Cagliari,Atalanta,2.0,0.0,H,1.0,0.0,H,2.5,2.87,3.0,2.4,2.8,3.05,2006/7,€45.15m,€53.48m,L. Palanca,11.0,11.0,5.0,3.0,16.0,23.0,3.0,4.0,2.0,3.0,0.0,1.0
I1,04/03/2007,Catania,Siena,1.0,1.0,D,0.0,0.0,D,2.4,2.87,3.2,2.5,2.7,3.0,2006/7,€38.60m,€46.08m,G. Gava,4.0,10.0,1.0,5.0,14.0,15.0,8.0,3.0,3.0,1.0,0.0,0.0
I1,04/03/2007,Fiorentina,Torino,5.0,1.0,H,2.0,1.0,H,1.4,4.0,9.0,1.35,4.0,9.0,2006/7,€159.60m,€55.55m,M. Bergonzi,19.0,6.0,11.0,3.0,18.0,17.0,5.0,5.0,2.0,4.0,0.0,0.0
I1,04/03/2007,Lazio,Sampdoria,1.0,0.0,H,1.0,0.0,H,1.72,3.3,5.0,1.8,3.0,4.65,2006/7,€105.35m,€69.45m,O. Girardi,10.0,14.0,4.0,4.0,13.0,20.0,5.0,8.0,2.0,0.0,0.0,0.0
I1,04/03/2007,Messina,Palermo,2.0,0.0,H,1.0,0.0,H,3.3,3.0,2.25,3.15,2.8,2.35,2006/7,€40.58m,€127.28m,N. Ayroldi,13.0,13.0,5.0,5.0,24.0,10.0,5.0,6.0,0.0,2.0,0.0,1.0
I1,04/03/2007,Parma,Reggina,2.0,2.0,D,1.0,2.0,A,2.3,2.87,3.25,2.35,2.8,3.15,2006/7,€46.90m,€50.10m,S. Farina,20.0,10.0,11.0,7.0,16.0,16.0,5.0,4.0,3.0,3.0,0.0,0.0
I1,04/03/2007,Udinese,Empoli,0.0,1.0,A,0.0,1.0,A,2.0,3.0,4.0,2.0,2.9,3.9,2006/7,€104.58m,€44.30m,C. Brighi,21.0,4.0,8.0,3.0,18.0,25.0,12.0,1.0,3.0,1.0,0.0,0.0
I1,10/03/2007,Sampdoria,Cagliari,1.0,1.0,D,1.0,0.0,H,1.83,3.0,5.0,1.85,2.85,4.75,2006/7,€69.45m,€45.15m,L. Banti,12.0,15.0,5.0,7.0,15.0,16.0,0.0,8.0,4.0,1.0,0.0,0.0
I1,11/03/2007,Atalanta,Parma,1.0,1.0,D,0.0,0.0,D,1.9,3.0,4.5,1.75,3.0,5.0,2006/7,€53.48m,€46.90m,A. Giannoccaro,13.0,14.0,6.0,11.0,21.0,23.0,4.0,6.0,2.0,3.0,0.0,0.0
I1,11/03/2007,Chievo,Messina,1.0,1.0,D,0.0,0.0,D,1.8,3.1,5.0,1.85,2.85,4.75,2006/7,€83.50m,€40.58m,T. Pieri,15.0,2.0,6.0,1.0,16.0,17.0,7.0,3.0,4.0,3.0,0.0,1.0
I1,11/03/2007,Empoli,Livorno,2.0,2.0,D,2.0,0.0,H,2.0,2.87,4.33,1.95,2.75,4.4,2006/7,€44.30m,€68.33m,M. Trefoloni,13.0,7.0,3.0,4.0,27.0,18.0,5.0,3.0,3.0,2.0,0.0,1.0
I1,11/03/2007,Inter,Milan,2.0,1.0,H,0.0,1.0,A,2.3,3.0,3.25,2.35,2.8,3.15,2006/7,€267.23m,€274.35m,N. Rizzoli,12.0,8.0,5.0,3.0,17.0,15.0,6.0,7.0,3.0,1.0,0.0,0.0
I1,11/03/2007,Palermo,Fiorentina,1.0,1.0,D,0.0,1.0,A,2.75,2.87,2.75,2.65,2.9,2.65,2006/7,€127.28m,€159.60m,D. Messina,8.0,8.0,2.0,4.0,19.0,15.0,6.0,4.0,1.0,2.0,1.0,0.0
I1,11/03/2007,Reggina,Lazio,2.0,3.0,A,1.0,2.0,A,2.6,2.87,2.87,2.4,2.85,3.0,2006/7,€50.10m,€105.35m,M. Saccani,12.0,20.0,6.0,9.0,20.0,25.0,4.0,7.0,4.0,3.0,0.0,0.0
I1,11/03/2007,Roma,Udinese,3.0,1.0,H,2.0,0.0,H,1.53,3.6,6.5,1.45,3.6,7.35,2006/7,€220.65m,€104.58m,P. Mazzoleni,14.0,15.0,7.0,5.0,11.0,17.0,8.0,8.0,0.0,2.0,0.0,0.0
I1,11/03/2007,Siena,Ascoli,0.0,1.0,A,0.0,1.0,A,1.66,3.2,6.0,1.65,3.0,6.15,2006/7,€46.08m,€25.80m,G. Rocchi,17.0,13.0,12.0,5.0,18.0,22.0,11.0,3.0,3.0,2.0,0.0,0.0
I1,11/03/2007,Torino,Catania,1.0,0.0,H,0.0,0.0,D,2.05,3.0,3.8,2.1,2.75,3.8,2006/7,€55.55m,€38.60m,G. Paparesta,7.0,8.0,4.0,3.0,26.0,17.0,7.0,9.0,2.0,1.0,0.0,0.0
I1,17/03/2007,Sampdoria,Palermo,1.0,1.0,D,0.0,0.0,D,2.37,2.87,3.25,2.45,2.8,2.95,2006/7,€69.45m,€127.28m,E. Morganti,8.0,6.0,2.0,2.0,20.0,23.0,7.0,2.0,1.0,2.0,1.0,0.0
I1,18/03/2007,Ascoli,Inter,1.0,2.0,A,0.0,0.0,D,9.0,4.0,1.4,9.0,4.0,1.35,2006/7,€25.80m,€267.23m,R. Rosetti,11.0,13.0,6.0,3.0,18.0,20.0,3.0,7.0,4.0,5.0,0.0,0.0
I1,18/03/2007,Cagliari,Chievo,0.0,2.0,A,0.0,0.0,D,2.05,2.87,4.2,2.05,2.75,4.0,2006/7,€45.15m,€83.50m,G. Rocchi,10.0,13.0,5.0,6.0,16.0,20.0,5.0,1.0,0.0,2.0,0.0,0.0
I1,18/03/2007,Catania,Reggina,1.0,4.0,A,0.0,0.0,D,2.5,2.87,3.0,2.55,2.75,2.9,2006/7,€38.60m,€50.10m,O. Girardi,14.0,14.0,8.0,7.0,14.0,19.0,6.0,6.0,3.0,2.0,0.0,0.0
I1,18/03/2007,Fiorentina,Roma,0.0,0.0,D,0.0,0.0,D,2.4,3.0,3.0,2.4,3.0,2.85,2006/7,€159.60m,€220.65m,G. Paparesta,8.0,21.0,5.0,11.0,31.0,22.0,3.0,7.0,1.0,2.0,1.0,0.0
I1,18/03/2007,Lazio,Empoli,3.0,1.0,H,2.0,0.0,H,1.61,3.4,6.0,1.65,3.2,5.5,2006/7,€105.35m,€44.30m,A. Giannoccaro,6.0,10.0,4.0,3.0,25.0,22.0,0.0,4.0,1.0,2.0,0.0,0.0
I1,18/03/2007,Messina,Torino,0.0,3.0,A,0.0,1.0,A,2.2,2.87,3.6,2.2,2.7,3.6,2006/7,€40.58m,€55.55m,P. Bertini,6.0,17.0,3.0,7.0,20.0,18.0,8.0,4.0,1.0,1.0,0.0,0.0
I1,18/03/2007,Milan,Atalanta,1.0,0.0,H,1.0,0.0,H,1.4,4.0,9.0,1.35,4.0,9.0,2006/7,€274.35m,€53.48m,M. Saccani,10.0,7.0,5.0,2.0,12.0,14.0,6.0,1.0,2.0,3.0,0.0,0.0
I1,18/03/2007,Parma,Siena,1.0,0.0,H,1.0,0.0,H,2.25,2.87,3.5,2.3,2.8,3.2,2006/7,€46.90m,€46.08m,P. Tagliavento,10.0,11.0,7.0,4.0,24.0,21.0,2.0,5.0,3.0,1.0,0.0,1.0
I1,18/03/2007,Udinese,Livorno,4.0,0.0,H,2.0,0.0,H,2.0,2.87,4.33,1.9,2.85,4.4,2006/7,€104.58m,€68.33m,D. Celi,14.0,5.0,7.0,2.0,12.0,17.0,4.0,5.0,3.0,2.0,0.0,0.0
I1,31/03/2007,Reggina,Siena,0.0,1.0,A,0.0,1.0,A,1.9,3.2,4.33,2.0,2.7,4.3,2006/7,€50.10m,€46.08m,E. Morganti,9.0,9.0,3.0,4.0,15.0,18.0,10.0,1.0,0.0,5.0,1.0,1.0
I1,31/03/2007,Roma,Milan,1.0,1.0,D,1.0,0.0,H,2.37,2.87,3.25,2.35,2.9,3.0,2006/7,€220.65m,€274.35m,D. Messina,14.0,8.0,7.0,2.0,16.0,20.0,9.0,4.0,3.0,2.0,0.0,0.0
I1,01/04/2007,Atalanta,Fiorentina,2.0,2.0,D,1.0,2.0,A,3.25,2.87,2.37,3.05,2.8,2.4,2006/7,€53.48m,€159.60m,R. Rosetti,15.0,11.0,8.0,6.0,15.0,17.0,9.0,6.0,3.0,2.0,0.0,0.0
I1,01/04/2007,Cagliari,Messina,2.0,0.0,H,2.0,0.0,H,1.83,3.0,5.0,1.8,2.85,5.1,2006/7,€45.15m,€40.58m,M. Bergonzi,10.0,5.0,6.0,1.0,21.0,23.0,1.0,2.0,1.0,3.0,0.0,1.0
