Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue
T1,22/08/2004,Gaziantepspor,Sakaryaspor,H,1.4,3.75,7.0,1.55,3.5,5.5,2004/5,€38.60m,€14.85m
T1,22/08/2004,Kayserispor,Ankaragucu,D,2.4,3.4,2.4,2.6,3.3,2.35,2004/5,€30.03m,€32.76m
T1,28/08/2004,Ankaraspor,Denizlispor,H,2.75,3.2,2.2,3.0,3.3,2.1,2004/5,€32.75m,€27.24m
T1,28/08/2004,Kayserispor,Fenerbahce,A,7.0,3.75,1.4,8.25,4.5,1.3,2004/5,€30.03m,€90.60m
T1,28/08/2004,Konyaspor,Istanbulspor,H,1.83,3.2,3.75,1.85,3.4,3.6,2004/5,€37.25m,€27.55m
T1,28/08/2004,Rizespor,Samsunspor,H,2.0,3.2,3.2,2.1,3.3,3.0,2004/5,€22.85m,€34.65m
T1,28/08/2004,Sakaryaspor,Galatasaray,A,5.0,3.5,1.57,6.0,3.6,1.5,2004/5,€14.85m,€79.65m
T1,29/08/2004,Ankaragucu,A. Sebatspor,H,1.66,3.4,4.33,1.7,3.4,4.3,2004/5,€32.76m,€26.73m
T1,29/08/2004,Besiktas,Gaziantepspor,A,1.66,3.4,4.33,1.6,3.5,5.0,2004/5,€76.25m,€38.60m
T1,29/08/2004,Diyarbakirspor,Malatyaspor,A,2.37,3.1,2.62,2.3,3.4,2.6,2004/5,€22.93m,€33.95m
T1,29/08/2004,Trabzonspor,Genclerbirligi,H,1.66,3.4,4.33,1.65,3.4,4.75,2004/5,€63.60m,€46.95m
T1,11/09/2004,A. Sebatspor,Fenerbahce,A,7.0,3.75,1.4,6.7,4.0,1.4,2004/5,€26.73m,€90.60m
T1,11/09/2004,Denizlispor,Trabzonspor,A,2.625,3.2,2.375,3.0,3.3,2.1,2004/5,€27.24m,€63.60m
T1,11/09/2004,Gaziantepspor,Ankaraspor,H,1.571,3.5,5.0,1.65,3.5,4.5,2004/5,€38.60m,€32.75m
T1,11/09/2004,Genclerbirligi,Diyarbakirspor,H,1.727,3.2,4.333,1.85,3.4,3.6,2004/5,€46.95m,€22.93m
T1,12/09/2004,Galatasaray,Samsunspor,H,1.25,5.0,8.0,1.25,5.0,9.0,2004/5,€79.65m,€34.65m
T1,12/09/2004,Istanbulspor,Rizespor,A,2.1,3.0,3.2,2.35,3.3,2.6,2004/5,€27.55m,€22.85m
T1,12/09/2004,Kayserispor,Konyaspor,D,2.2,3.2,2.8,2.1,3.3,3.0,2004/5,€30.03m,€37.25m
T1,12/09/2004,Malatyaspor,Ankaragucu,H,1.833,3.4,3.5,1.75,3.5,4.0,2004/5,€33.95m,€32.76m
T1,12/09/2004,Sakaryaspor,Besiktas,A,5.0,3.5,1.571,6.0,3.9,1.45,2004/5,€14.85m,€76.25m
T1,17/09/2004,Diyarbakirspor,Denizlispor,A,2.5,3.2,2.5,2.65,3.15,2.4,2004/5,€22.93m,€27.24m
T1,18/09/2004,Ankaraspor,Sakaryaspor,D,1.57,3.5,5.0,1.55,3.5,5.5,2004/5,€32.75m,€14.85m
