Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
P1,12/08/2017,Belenenses,Maritimo,1.0,0.0,H,0.0,0.0,D,2.4,3.0,3.2,2.3,2.9,3.4,2017/18,€19.88m,€28.55m,10.0,7.0,4.0,5.0,20.0,18.0,9.0,4.0,3.0,1.0,0.0,0.0
P1,12/08/2017,Boavista,Rio Ave,1.0,2.0,A,0.0,1.0,A,3.0,3.0,2.5,3.0,2.9,2.55,2017/18,€16.43m,€32.95m,5.0,7.0,2.0,2.0,17.0,17.0,2.0,3.0,3.0,3.0,0.0,0.0
P1,12/08/2017,Moreirense,Feirense,0.0,0.0,D,0.0,0.0,D,2.4,3.0,3.2,2.35,2.95,3.25,2017/18,€17.80m,€12.85m,11.0,6.0,0.0,4.0,18.0,23.0,8.0,4.0,1.0,2.0,0.0,0.0
P1,13/08/2017,Pacos Ferreira,AVS,2.0,2.0,D,0.0,2.0,A,1.91,3.3,4.2,1.91,3.1,4.4,2017/18,€15.73m,€12.15m,16.0,7.0,5.0,3.0,17.0,20.0,2.0,3.0,1.0,3.0,0.0,0.0
P1,13/08/2017,Sp Braga,Portimonense,2.0,1.0,H,1.0,1.0,D,1.53,4.0,6.0,1.5,4.0,6.5,2017/18,€94.80m,€35.78m,8.0,8.0,4.0,1.0,14.0,21.0,5.0,7.0,3.0,3.0,0.0,0.0
P1,13/08/2017,Tondela,Porto,0.0,1.0,A,0.0,1.0,A,11.0,5.0,1.29,8.75,5.25,1.3,2017/18,€17.48m,€276.50m,5.0,15.0,2.0,6.0,22.0,10.0,2.0,6.0,3.0,2.0,0.0,0.0
P1,14/08/2017,Chaves,Benfica,0.0,1.0,A,0.0,0.0,D,7.0,4.75,1.4,7.75,4.75,1.36,2017/18,€23.75m,€229.08m,9.0,21.0,4.0,9.0,12.0,15.0,5.0,13.0,1.0,2.0,0.0,0.0
P1,14/08/2017,Estoril,Guimaraes,3.0,0.0,H,1.0,0.0,H,3.2,3.2,2.3,3.1,3.1,2.35,2017/18,€26.20m,€50.33m,18.0,11.0,5.0,1.0,16.0,13.0,4.0,7.0,2.0,3.0,1.0,2.0
P1,18/08/2017,Rio Ave,Portimonense,2.0,0.0,H,0.0,0.0,D,1.7,3.6,5.0,1.67,3.5,5.25,2017/18,€32.95m,€35.78m,11.0,11.0,7.0,4.0,15.0,11.0,4.0,6.0,0.0,0.0,0.0,0.0
P1,19/08/2017,Benfica,Belenenses,5.0,0.0,H,3.0,0.0,H,1.2,6.25,15.0,1.18,6.75,13.5,2017/18,€229.08m,€19.88m,20.0,7.0,14.0,4.0,22.0,11.0,6.0,2.0,0.0,1.0,0.0,0.0
P1,19/08/2017,Guimaraes,Sp Lisbon,0.0,5.0,A,0.0,3.0,A,4.75,3.6,1.75,5.0,3.6,1.7,2017/18,€50.33m,€259.08m,8.0,13.0,3.0,10.0,18.0,20.0,5.0,3.0,3.0,2.0,0.0,0.0
P1,19/08/2017,Tondela,Estoril,2.0,3.0,A,0.0,2.0,A,2.25,3.25,3.2,2.3,3.1,3.25,2017/18,€17.48m,€26.20m,14.0,8.0,7.0,4.0,23.0,18.0,6.0,1.0,3.0,2.0,0.0,0.0
P1,20/08/2017,AVS,Sp Braga,0.0,2.0,A,0.0,0.0,D,3.1,3.25,2.3,3.2,3.1,2.3,2017/18,€12.15m,€94.80m,9.0,18.0,4.0,9.0,14.0,10.0,4.0,8.0,1.0,0.0,1.0,0.0
P1,20/08/2017,Maritimo,Boavista,1.0,0.0,H,0.0,0.0,D,2.15,3.1,3.6,2.05,3.2,3.75,2017/18,€28.55m,€16.43m,10.0,9.0,2.0,1.0,20.0,10.0,2.0,6.0,0.0,1.0,0.0,0.0
P1,20/08/2017,Porto,Moreirense,3.0,0.0,H,2.0,0.0,H,1.14,7.5,17.0,1.15,7.25,17.0,2017/18,€276.50m,€17.80m,27.0,6.0,11.0,2.0,12.0,9.0,13.0,3.0,0.0,2.0,0.0,0.0
P1,20/08/2017,Setubal,Chaves,1.0,1.0,D,0.0,0.0,D,2.6,3.0,2.9,2.55,2.95,2.95,2017/18,€23.95m,€23.75m,19.0,5.0,9.0,2.0,16.0,16.0,8.0,1.0,1.0,4.0,0.0,1.0
P1,21/08/2017,Feirense,Pacos Ferreira,2.0,1.0,H,1.0,1.0,D,2.5,3.1,2.9,2.35,3.1,3.1,2017/18,€12.85m,€15.73m,12.0,12.0,7.0,3.0,20.0,18.0,5.0,5.0,2.0,2.0,0.0,0.0
